                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84898,                  3.528,                 1.3184,                0.07462,                0.83022,                0.31398,                0.23668,                0.80032,                 2.8565,                 1.2987,              0.0001948,              0.0001948,              0.0001948
                      2,                0.83485,                 2.7366,                   1.37,                0.41243,                0.41196,                0.35853,                0.24877,                0.88122,                 2.2361,                 1.4096,             0.00038693,             0.00038693,             0.00038693
                      3,                0.80863,                 2.2616,                 1.3664,                0.41374,                0.37616,                0.35823,                  0.257,                0.87174,                 2.1233,                 1.3984,             0.00057518,             0.00057518,             0.00057518
                      4,                0.79016,                  2.029,                 1.3658,                0.44556,                0.48386,                 0.4388,                0.31779,                0.84576,                 1.8617,                 1.4109,             0.00057054,             0.00057054,             0.00057054
                      5,                0.78504,                 1.8737,                 1.3826,                0.47991,                0.54077,                0.49892,                0.35688,                0.85037,                 1.6985,                 1.4412,             0.00056472,             0.00056472,             0.00056472
                      6,                0.76837,                  1.749,                 1.3735,                0.55197,                0.51985,                0.53338,                0.39106,                0.84307,                 1.6342,                 1.4206,             0.00055889,             0.00055889,             0.00055889
                      7,                0.76099,                 1.6662,                 1.3692,                0.53253,                0.51047,                0.50834,                0.37461,                 0.8635,                 1.7112,                 1.4456,             0.00055307,             0.00055307,             0.00055307
                      8,                0.76009,                 1.6067,                 1.3734,                0.58404,                0.52422,                0.55327,                0.41637,                0.85001,                 1.6869,                 1.4476,             0.00054725,             0.00054725,             0.00054725
                      9,                0.75736,                 1.5719,                 1.3715,                0.60015,                 0.5409,                0.57453,                0.44317,                 0.7784,                 1.5235,                 1.3727,             0.00054143,             0.00054143,             0.00054143
                     10,                0.74413,                 1.5133,                 1.3575,                0.55413,                0.52211,                0.54027,                0.42237,                0.76827,                 1.4439,                 1.3496,             0.00053561,             0.00053561,             0.00053561
                     11,                0.75234,                 1.4851,                 1.3706,                0.58317,                0.53429,                0.55709,                0.42776,                0.79343,                 1.4289,                 1.3727,             0.00052979,             0.00052979,             0.00052979
                     12,                 0.7284,                 1.4398,                 1.3431,                0.61878,                0.56181,                0.59556,                0.45498,                0.78559,                 1.4597,                  1.373,             0.00052397,             0.00052397,             0.00052397
                     13,                0.72972,                 1.4164,                 1.3506,                0.64193,                0.56662,                0.60793,                0.47464,                0.77574,                 1.3871,                 1.3413,             0.00051815,             0.00051815,             0.00051815
                     14,                0.71778,                 1.3776,                 1.3351,                0.63316,                0.55533,                0.60149,                0.47987,                0.72363,                 1.3229,                  1.304,             0.00051232,             0.00051232,             0.00051232
                     15,                0.71291,                 1.3646,                 1.3361,                0.62194,                0.56322,                0.60676,                0.48786,                 0.7326,                 1.2905,                 1.3049,              0.0005065,              0.0005065,              0.0005065
